alimentationemissionid,alimentid,begesid,co2emisalimentation,datedebut,datefin,rank
1,12,1,5.695538105716684,2023-07-03,2023-07-03,1
2,12,1,16.90231112374785,2023-07-11,2023-07-11,4
3,10,1,16.488116249170446,2023-07-12,2023-07-12,3
4,12,1,6.042471660632167,2023-07-13,2023-07-13,3
5,12,1,15.268265111105942,2023-07-20,2023-07-20,2
6,12,1,9.201365831678846,2023-07-23,2023-07-23,1
7,12,1,14.57538965927983,2023-07-24,2023-07-24,1
8,12,1,16.94945639051612,2023-07-29,2023-07-29,4
9,10,1,14.483508300221448,2023-07-30,2023-07-30,2
10,3,2,13.304537827852698,2023-05-31,2023-05-31,2
11,10,2,3.5892800982223307,2023-06-03,2023-06-03,4
12,10,2,5.3066210139661285,2023-06-06,2023-06-06,3
13,10,2,19.46955985904833,2023-06-14,2023-06-14,3
14,12,2,6.242937359149451,2023-06-22,2023-06-22,2
15,12,2,16.030428292203013,2023-06-25,2023-06-25,5
16,10,2,9.73699930253169,2023-06-26,2023-06-26,2
17,2,3,5.29081110553361,2023-04-20,2023-04-20,5
18,3,3,5.540158518418668,2023-04-22,2023-04-22,4
19,2,3,2.82758375756841,2023-04-27,2023-04-27,4
20,2,3,4.521574621231,2023-05-01,2023-05-01,4
21,3,3,11.052510277040657,2023-05-06,2023-05-06,2
22,3,3,1.5900576469666894,2023-05-11,2023-05-11,4
23,3,3,19.908738216385196,2023-05-14,2023-05-14,3
24,2,3,16.501105117821883,2023-05-14,2023-05-14,4
25,12,4,5.832916472318903,2023-07-12,2023-07-12,5
26,10,4,7.792280509669433,2023-07-14,2023-07-14,4
27,10,4,2.473871596706113,2023-07-17,2023-07-17,4
28,12,4,18.217008705689615,2023-07-18,2023-07-18,5
29,12,4,6.654918314248699,2023-07-22,2023-07-22,5
30,10,4,15.86672808208453,2023-07-22,2023-07-22,4
31,10,4,9.434633794434577,2023-07-26,2023-07-26,2
32,12,4,7.780604497183633,2023-07-28,2023-07-28,1
33,12,4,15.084914168727634,2023-08-03,2023-08-03,1
34,10,4,5.258994435757525,2023-08-04,2023-08-04,2
35,10,4,9.884265266997167,2023-08-09,2023-08-09,1
36,10,4,14.597710667285417,2023-08-10,2023-08-10,1
37,11,5,12.047330063945296,2023-09-23,2023-09-23,2
38,11,5,18.403671944430087,2023-09-26,2023-09-26,5
39,11,5,11.151936041171217,2023-09-28,2023-09-28,4
40,11,5,7.784065395430218,2023-09-30,2023-09-30,2
41,11,5,9.37596561786435,2023-10-05,2023-10-05,2
42,11,6,12.682605564641438,2023-09-30,2023-09-30,4
43,11,6,13.63681491454203,2023-10-01,2023-10-01,5
44,11,6,11.64641057287167,2023-10-02,2023-10-02,4
45,11,6,4.738380245526431,2023-10-16,2023-10-16,2
46,11,6,14.900591519060654,2023-10-19,2023-10-19,1
47,11,6,11.585950523838633,2023-10-23,2023-10-23,3
48,11,6,11.47661447801656,2023-10-25,2023-10-25,4
49,3,7,17.32794321083823,2023-05-30,2023-05-30,1
50,10,7,19.94613611505567,2023-06-02,2023-06-02,5
51,12,7,15.42495341663268,2023-06-02,2023-06-02,1
52,12,7,17.494366752497523,2023-06-03,2023-06-03,3
53,10,7,10.489580571582843,2023-06-03,2023-06-03,3
54,12,7,15.905478697718292,2023-06-05,2023-06-05,3
55,12,7,18.995506592569058,2023-06-06,2023-06-06,5
56,12,7,17.67754530979736,2023-06-07,2023-06-07,1
57,10,7,17.218372988430616,2023-06-11,2023-06-11,3
58,12,7,9.722903014187555,2023-06-12,2023-06-12,1
59,10,7,9.894529434249568,2023-06-12,2023-06-12,4
60,12,7,5.602567157697896,2023-06-13,2023-06-13,2
61,12,7,10.579748757138642,2023-06-21,2023-06-21,1
62,10,7,11.6844908814409,2023-06-25,2023-06-25,3
63,10,7,13.947228270983286,2023-06-26,2023-06-26,5
64,12,8,10.46056758604228,2023-08-20,2023-08-20,5
65,12,8,7.71125321025875,2023-08-21,2023-08-21,5
66,12,8,15.042714023084324,2023-08-22,2023-08-22,3
67,10,8,3.211752782147465,2023-08-25,2023-08-25,3
68,10,8,8.788138172476103,2023-08-27,2023-08-27,2
69,12,8,15.945416020897895,2023-08-28,2023-08-28,1
70,12,8,3.7775015949700608,2023-08-30,2023-08-30,4
71,10,8,5.809669811154507,2023-08-31,2023-08-31,5
72,11,8,14.691804605893052,2023-09-03,2023-09-03,5
73,11,8,11.97811140463644,2023-09-08,2023-09-08,1
74,9,9,8.466525569849026,2023-01-07,2023-01-07,4
75,9,9,3.889134804848088,2023-01-11,2023-01-11,2
76,11,9,9.707347011627316,2023-01-12,2023-01-12,5
77,9,9,8.914567555038595,2023-01-17,2023-01-17,3
78,11,9,19.100297307913046,2023-01-20,2023-01-20,4
79,11,9,11.393283575138598,2023-01-23,2023-01-23,4
80,11,9,1.2041852882034365,2023-01-24,2023-01-24,3
81,11,10,9.322253944075449,2023-09-12,2023-09-12,3
82,11,10,6.339392187603732,2023-09-19,2023-09-19,3
83,11,10,2.7304116541792336,2023-09-24,2023-09-24,1
84,11,10,2.109741304285136,2023-10-10,2023-10-10,1
85,11,10,3.7229015500190474,2023-10-11,2023-10-11,3
86,2,11,19.668180330988513,2023-04-17,2023-04-17,4
87,3,11,1.3630094207071655,2023-04-29,2023-04-29,4
88,2,11,15.7621633305679,2023-04-29,2023-04-29,4
89,3,11,19.310069666404388,2023-05-02,2023-05-02,4
90,2,11,6.341974641587217,2023-05-03,2023-05-03,5
91,3,11,3.137952560448822,2023-05-06,2023-05-06,5
92,3,11,13.420977077404249,2023-05-09,2023-05-09,1
93,3,11,18.429566043785872,2023-05-10,2023-05-10,2
94,3,11,5.861362425749304,2023-05-11,2023-05-11,5
95,2,11,1.0852442753389644,2023-05-14,2023-05-14,3
96,3,12,7.183991299731417,2023-04-19,2023-04-19,2
97,3,12,4.821592054659554,2023-04-20,2023-04-20,4
98,3,12,1.5932954560895893,2023-04-21,2023-04-21,1
99,2,12,14.22727075670467,2023-04-22,2023-04-22,2
100,2,12,10.976894268653007,2023-04-25,2023-04-25,2
101,3,12,14.511078839090462,2023-04-25,2023-04-25,5
102,2,12,4.047024001834754,2023-04-28,2023-04-28,5
103,3,12,6.763221680257466,2023-04-28,2023-04-28,1
104,3,12,17.545266794095003,2023-04-29,2023-04-29,4
105,3,12,3.608281013708227,2023-04-30,2023-04-30,3
