chauffageemissionid,chauffageid,begesid,co2emischauffage,datedebut,datefin,rank
1,6,1,2.297351502614565,2023-06-30,2023-06-30,5
2,1,1,8.104970198275627,2023-07-01,2023-07-01,2
3,6,1,20.841271835392487,2023-07-02,2023-07-02,3
4,1,1,24.418895961755357,2023-07-03,2023-07-03,4
5,6,1,6.960187767148839,2023-07-04,2023-07-04,3
6,1,1,21.438897620132277,2023-07-05,2023-07-05,2
7,6,1,25.69039018921255,2023-07-06,2023-07-06,1
8,7,1,6.310314193716739,2023-07-07,2023-07-07,2
9,6,1,6.484951657956304,2023-07-08,2023-07-08,4
10,2,1,20.853876203411605,2023-07-09,2023-07-09,4
11,7,1,25.245295224812793,2023-07-10,2023-07-10,5
12,7,1,26.430714397464143,2023-07-11,2023-07-11,5
13,6,1,5.417920105119594,2023-07-12,2023-07-12,5
14,1,1,7.696601733725996,2023-07-13,2023-07-13,4
15,4,1,17.37791185533124,2023-07-14,2023-07-14,5
16,7,1,28.674613789748463,2023-07-15,2023-07-15,2
17,2,1,11.242859642269044,2023-07-16,2023-07-16,1
18,7,1,2.6417873336447046,2023-07-17,2023-07-17,3
19,1,1,18.239261123251126,2023-07-18,2023-07-18,2
20,3,1,21.597341776704205,2023-07-19,2023-07-19,1
21,3,1,17.384381568118485,2023-07-20,2023-07-20,3
22,1,1,26.235809130676277,2023-07-21,2023-07-21,2
23,1,1,15.17331900073835,2023-07-22,2023-07-22,5
24,3,1,7.584661622848677,2023-07-23,2023-07-23,5
25,6,1,28.687986160784764,2023-07-24,2023-07-24,5
26,8,1,4.638834457252077,2023-07-25,2023-07-25,5
27,6,1,28.91446607871156,2023-07-26,2023-07-26,1
28,4,1,11.176539334723229,2023-07-27,2023-07-27,1
29,4,1,1.938048353551258,2023-07-28,2023-07-28,2
30,6,1,3.075403087409496,2023-07-29,2023-07-29,5
31,7,1,13.063832247629444,2023-07-30,2023-07-30,2
32,5,2,13.471157133190824,2023-05-31,2023-05-31,2
33,5,2,27.92705232859082,2023-06-01,2023-06-01,4
34,1,2,1.5013947622160222,2023-06-02,2023-06-02,4
35,6,2,29.27025132339381,2023-06-03,2023-06-03,4
36,6,2,7.238545387111773,2023-06-04,2023-06-04,1
37,2,2,28.996228302242866,2023-06-05,2023-06-05,2
